,username,tweet_text,retweets,location,created_at
0,realDonaldTrump,...Everyone should compare this terrible Electoral Intrusion with the recent interviews of Sleepy Joe Biden!,27593,"Washington, DC",2020-10-20 22:09:42
1,realDonaldTrump,"I am pleased to inform you that, for the sake of accuracy in reporting, I am considering posting my interview with Lesley Stahl of 60 Minutes, PRIOR TO AIRTIME! This will be done so that everybody can get a glimpse of what a FAKE and BIASED interview is all about...",69958,"Washington, DC",2020-10-20 22:09:42
2,realDonaldTrump,Lesley Stahl of 60 Minutes not wearing a mask in the White House after her interview with me. Much more to come. https://t.co/0plZG6a4fH,53883,"Washington, DC",2020-10-20 20:06:09
3,realDonaldTrump,WISCONSIN! Early voting is now underway—let’s #MAGA! https://t.co/gsFSghkmdM,16456,"Washington, DC",2020-10-20 18:46:22
4,realDonaldTrump,https://t.co/gsFSghkmdM,14869,"Washington, DC",2020-10-20 17:50:29
5,realDonaldTrump,"“Stock Markets will hit new highs if President Trump wins.  Tremendous growth like never before. If Biden wins, it’s strangulation. Not good.” @SteveKalayjian @Varneyco",27341,"Washington, DC",2020-10-20 14:02:31
6,realDonaldTrump,"To the great people of New York, California, and Illinois, your states are way too highly taxed, big crime, people fleeing, and just about every other problem you can have. VOTE TRUMP, I will turn them around for you, FAST!",62867,"Washington, DC",2020-10-20 13:48:27
7,realDonaldTrump,Will be interviewed on @foxandfriends at 8:00 A.M. Enjoy!,15680,"Washington, DC",2020-10-20 11:55:39
