,username,tweet_text,retweets,location,created_at
0,realDonaldTrump,https://t.co/ATipOZ0jYG,6151,"Washington, DC",2020-10-24 22:52:15
1,realDonaldTrump,https://t.co/NBfIdXBEhp,4926,"Washington, DC",2020-10-24 22:52:06
2,realDonaldTrump,https://t.co/lw739qEfqr,7223,"Washington, DC",2020-10-24 22:51:41
3,realDonaldTrump,"Great to be in Ohio, leaving now for Wisconsin. See you in a little while! https://t.co/jglAVPFzmR",15562,"Washington, DC",2020-10-24 22:50:44
4,realDonaldTrump,"THANK YOU OHIO! #VOTE 
https://t.co/5EJjFZVLHZ",8206,"Washington, DC",2020-10-24 22:44:44
5,realDonaldTrump,Just landed in Ohio. See you in a little while!,12612,"Washington, DC",2020-10-24 20:13:08
6,realDonaldTrump,"Nobody is showing up for Obama’s hate laced speeches. 47 people! No energy, but still better than Joe!",27705,"Washington, DC",2020-10-24 20:11:38
7,realDonaldTrump,AMERICA FIRST!,26642,"Washington, DC",2020-10-24 18:56:09
8,realDonaldTrump,MAKE AMERICA GREAT AGAIN!,44254,"Washington, DC",2020-10-24 18:55:38
9,realDonaldTrump,Joe Biden = Biggest Tax Increase In History and The Complete Obliteration Of Your Second Amendment!,20544,"Washington, DC",2020-10-24 18:54:47
10,realDonaldTrump,https://t.co/pEPeLiP7RX,8432,"Washington, DC",2020-10-24 18:52:52
11,realDonaldTrump,Debate Poll Average: 89% Trump. 11% Sleepy Joe Biden!,29010,"Washington, DC",2020-10-24 16:51:45
12,realDonaldTrump,An Apprentice Champion. Check out his very interesting new book! https://t.co/oal3j9jar8,5354,"Washington, DC",2020-10-24 16:39:49
13,realDonaldTrump,"Quick stop in North Carolina with a wonderful Indian Tribe, and guests. Then off to two BIG Rallies in Ohio and Wisconsin. See you later!!!",15720,"Washington, DC",2020-10-24 16:31:24
14,realDonaldTrump,Trump Predicts 35% Growth in Q3 -- ‘We‘re Coming Back Stronger‘ https://t.co/vpHoFoeYG0 via @BreitbartNews Would be biggest ever!,7232,"Washington, DC",2020-10-24 16:20:30
15,realDonaldTrump,Pence: Voters Know Biden and Harris ‘Are Going to Pack the Court‘ https://t.co/GCJ8LSBvWm via @BreitbartNews. With the Radical Left. Can’t let this happen. VOTE!,6431,"Washington, DC",2020-10-24 16:18:28
16,realDonaldTrump,Presidential Promises Kept: Justice Barrett Will Fairly Apply and Honor the Law for Decades https://t.co/fgBFldfVlc via @BreitbartNews,8643,"Washington, DC",2020-10-24 16:16:26
17,realDonaldTrump,"Trump: Biden Works for Big Tech, Big Media — They Keep Scandals Quiet https://t.co/GddS9YvM41 via @BreitbartNews",7890,"Washington, DC",2020-10-24 16:14:21
18,realDonaldTrump,"#VoteEarlyDay #MAGA🇺🇸
https://t.co/gsFSghkmdM",5088,"Washington, DC",2020-10-24 16:13:52
19,realDonaldTrump,Carney: Joe Biden‘s Energy Plan Would Eviscerate Wisconsin Sand Miners https://t.co/2PtP3Rj0Id via @BreitbartNews,5962,"Washington, DC",2020-10-24 16:12:49
20,realDonaldTrump,https://t.co/OBPF6cbxuc,13845,"Washington, DC",2020-10-24 15:57:51
21,realDonaldTrump,https://t.co/Dw4zuqXURT,9380,"Washington, DC",2020-10-24 15:54:45
22,realDonaldTrump,https://t.co/8m0dNPTtt6,10335,"Washington, DC",2020-10-24 15:27:32
23,realDonaldTrump,"The Fake News is talking about CASES, CASES, CASES. This includes many low risk people. Media is doing everything possible to create fear prior to November 3rd. The Cases are up because TESTING is way up, by far the most, and best, in the world. Mortality rate is DOWN 85% plus!",32753,"Washington, DC",2020-10-24 14:55:57
24,realDonaldTrump,JUST VOTED. A great honor!,37766,"Washington, DC",2020-10-24 14:28:20
25,realDonaldTrump,"Our Economy is doing great, and is ready to set new records - best ever (Again!). Biden will destroy everything with his massive Tax Increases. Don’t let it happen!!!",21000,"Washington, DC",2020-10-24 14:27:36
26,realDonaldTrump,Carney: Joe Biden‘s Energy Plan Would Eviscerate Wisconsin Sand Miners https://t.co/2PtP3Rj0Id via @BreitbartNews Wisconsin would be badly hurt because Biden would definitely end Fracking. No more Sand Mine usage!,14095,"Washington, DC",2020-10-24 04:46:47
27,realDonaldTrump,"If I do not sound like a typical Washington politician, it’s because I’m NOT a politician. If I do not always play by the rules of the Washington Establishment, it’s because I was elected to fight for YOU, harder than anyone ever has before! https://t.co/gsFSgh2KPc https://t.co/kNuIW02Dfc",32805,"Washington, DC",2020-10-24 02:11:13
28,realDonaldTrump,"...I could not sit by and watch THEM take advantage of YOU anymore. They are coming after me because I am standing in their way, and standing guard for this Country we LOVE!",34693,"Washington, DC",2020-10-24 02:06:11
29,realDonaldTrump,"...For years, I watched one betrayal after another, as politicians like Joe Biden sold out American Workers at every turn—shattering the lives of millions of American families while THEIR families raked in millions of dollars...",29862,"Washington, DC",2020-10-24 02:06:10
30,realDonaldTrump,"Joe Biden is a corrupt politician and he’s COMPROMISED. China is desperate for Biden to win because if Biden Wins, CHINA WINS – and China will OWN AMERICA. This corruption is EXACTLY why I decided to run for President in the first place...",58876,"Washington, DC",2020-10-24 02:06:09
