,username,tweet_text,retweets,location,created_at
0,realDonaldTrump,https://t.co/4LTWLgbmsf,13983,"Washington, DC",2020-10-28 23:41:09
1,realDonaldTrump,"Why isn’t Biden corruption trending number one on Twitter? Biggest world story, and nowhere to be found. There is no”trend”, only negative stories that Twitter wants to put up. Disgraceful! Section 230",40942,"Washington, DC",2020-10-28 23:34:05
2,realDonaldTrump,"A vote for Joe Biden is a vote for the biggest TAX HIKE in history, crushing regulations, slashing Medicare and Social Security, and abolishing American Energy. A vote for Biden is a vote for open borders, offshoring jobs, shredding the Second Amendment...https://t.co/lrveykMf4R",10381,"Washington, DC",2020-10-28 23:32:00
3,realDonaldTrump,https://t.co/6Bww8zo4bk,6207,"Washington, DC",2020-10-28 23:26:16
4,realDonaldTrump,"If you vote for Biden, your kids will not be in school, there will be no graduations, no weddings, no Thanksgiving, no Christmas, and no Fourth of July! https://t.co/Pjyd8TGXME",18748,"Washington, DC",2020-10-28 23:25:59
5,realDonaldTrump,"We will end surprise medical billing, require price transparency, lower drug prices even more, protect Social Security and Medicare, and we will ALWAYS protect patients with pre-existing conditions! https://t.co/0otWkqA1wC",10304,"Washington, DC",2020-10-28 23:21:29
6,realDonaldTrump,"Thank you Goodyear, Arizona! Get out and VOTE — Together, we are going to MAKE AMERICA GREAT AGAIN! https://t.co/r7mVXvoFD2",12315,"Washington, DC",2020-10-28 23:19:10
7,realDonaldTrump,....associated with this FRAUD on the American people!,9040,"Washington, DC",2020-10-28 21:42:49
8,realDonaldTrump,"Who is Miles Taylor? Said he was “anonymous”, but I don’t know him - never even heard of him. Just another @nytimes SCAM - he worked in conjunction with them. Also worked for Big Tech’s @Google. Now works for Fake News @CNN. They should fire, shame, and punish everybody....",20779,"Washington, DC",2020-10-28 21:42:48
9,realDonaldTrump,"Thank you @RSBNetwork! #MAGA 
https://t.co/iHlBpNDgkQ",11648,"Washington, DC",2020-10-28 21:17:32
10,realDonaldTrump,https://t.co/1BHWlr9tJx,6907,"Washington, DC",2020-10-28 21:09:39
11,realDonaldTrump,https://t.co/pcPu2cohJI,6037,"Washington, DC",2020-10-28 21:09:31
12,realDonaldTrump,"I’m NOT just running against Joe Biden—I’m running against the left-wing media, the Big Tech giants, and the wretched Washington Swamp. They have nothing but disdain for you and your values—get out and VOTE to #MAGA! https://t.co/ZYiv9biLvX",19795,"Washington, DC",2020-10-28 21:09:01
13,realDonaldTrump,"Proud citizens like you helped build this Country—and together, we are taking back our Country. We are returning power to YOU, the American People! Get out and VOTE — so we can MAKE AMERICA GREAT AGAIN! https://t.co/rjQcHUoaoT",17561,"Washington, DC",2020-10-28 21:05:31
14,realDonaldTrump,"THANK YOU ARIZONA! #MAGA 
https://t.co/QgUI58S4D3",8975,"Washington, DC",2020-10-28 20:49:37
15,realDonaldTrump,"Why isn’t Twitter trending Biden corruption? It’s the biggest, and most credible, story anywhere in the world. Fake Trending!!!",58626,"Washington, DC",2020-10-28 18:54:01
16,realDonaldTrump,Media and Big Tech are not covering Biden Corruption!,47938,"Washington, DC",2020-10-28 16:36:55
17,realDonaldTrump,"The USA doesn’t have Freedom of the Press, we have Suppression of the Story, or just plain Fake News. So much has been learned in the last two weeks about how corrupt our Media is, and now Big Tech, maybe even worse. Repeal Section 230!",43253,"Washington, DC",2020-10-28 16:33:31
18,realDonaldTrump,https://t.co/YGAn4QULA4,16661,"Washington, DC",2020-10-28 16:27:33
19,realDonaldTrump,"It’s amazing. Twitter refuses to allow the any mention of the Biden corruption story which was carried so well on @TuckerCarlson last night. It’s the biggest story and Big Tech, together with the Lamestream Media, isn’t allowing a word to be said about it.",52788,"Washington, DC",2020-10-28 15:22:16
20,realDonaldTrump,"Volunteer to be a Trump Election Poll Watcher. Sign up today! #MAGA 
https://t.co/3AnrRUPTtZ",9598,"Washington, DC",2020-10-28 15:20:29
21,realDonaldTrump,"Incredible evening, incredible people. Love Nebraska, and there were plenty of great people from Iowa there also! $28 Billion for Farmers!!! https://t.co/S7tn3krGdz",17006,"Washington, DC",2020-10-28 14:51:48
22,realDonaldTrump,"Covid, Covid, Covid is the unified chant of the Fake News Lamestream Media. They will talk about nothing else until November 4th., when the Election will be (hopefully!) over. Then the talk will be how low the death rate is, plenty of hospital rooms, &amp; many tests of young people.",30805,"Washington, DC",2020-10-28 12:35:47
23,realDonaldTrump,Thank you Charles. She will be a great one! https://t.co/T2UbLXtMmZ,9183,"Washington, DC",2020-10-28 12:15:44
24,realDonaldTrump,"As a developer long ago, and continuing to this day, the politicians ran Chicago into the ground. I was able to make an appropriately great deal with the numerous lenders on a large and very beautiful tower. Doesn’t that make me a smart guy rather than a bad guy?",20655,"Washington, DC",2020-10-28 11:32:35
25,realDonaldTrump,https://t.co/f1mqYvg6Fm,49985,"Washington, DC",2020-10-28 04:56:33
26,realDonaldTrump,"We are spending more in Florida, and we are winning big in Florida. Actually, we are winning big in many states as the Great Red Wave begins to form!",28650,"Washington, DC",2020-10-28 03:31:45
27,realDonaldTrump,https://t.co/YGnjje9G4P,21395,"Washington, DC",2020-10-28 03:02:37
28,realDonaldTrump,https://t.co/gsFSgh2KPc https://t.co/IriTZzvGtY,15798,"Washington, DC",2020-10-28 02:53:38
29,realDonaldTrump,https://t.co/gsFSgh2KPc https://t.co/HoLVYSOU2I,11957,"Washington, DC",2020-10-28 02:52:29
30,realDonaldTrump,"THANK YOU NEBRASKA! Get your friends, get your family, get your neighbors &amp; co-workers &amp; GET OUT AND VOTE! We didn’t come this far and fight this hard to surrender our Country back to the Corrupt Washington Swamp. On 11/3 we must finish the job &amp; Drain the Swamp once and for all! https://t.co/G8Oqvi5YSa",22207,"Washington, DC",2020-10-28 02:28:41
31,realDonaldTrump,https://t.co/rEThigvI5W,13568,"Washington, DC",2020-10-28 02:08:26
32,realDonaldTrump,https://t.co/FU5IncJ4VI,9441,"Washington, DC",2020-10-28 02:08:16
33,realDonaldTrump,"THANK YOU NEBRASKA! 
https://t.co/k9DWvZO10b",12230,"Washington, DC",2020-10-28 02:08:10
34,realDonaldTrump,"On my way to Nebraska, after a great evening in Wisconsin with hardworking American Patriots! https://t.co/gsFSgh2KPc https://t.co/RKVwie1QT9",10344,"Washington, DC",2020-10-28 00:18:06
35,realDonaldTrump,"Thank you WISCONSIN, get out and VOTE! Together, we are going to MAKE AMERICA GREAT AGAIN!! https://t.co/SGEsnCDbVH",12489,"Washington, DC",2020-10-28 00:05:00
