,username,tweet_text,retweets,location,created_at
0,realDonaldTrump,"Texas, Pennsylvania, Ohio, and others, please watch. His party, and Joe, will stop Fracking immediately. Millions of jobs lost as energy prices soar. Vote Trump! https://t.co/YHQyvfetSp",23013,"Washington, DC",2020-10-25 23:24:33
1,realDonaldTrump,Suburban women are STRONG for President Trump. Watch this @60Minutes clip! https://t.co/DL38a1qUAz,10287,"Washington, DC",2020-10-25 23:19:11
2,realDonaldTrump,In honor of Maine! https://t.co/cR5fdwgSDh,9027,"Washington, DC",2020-10-25 22:22:58
3,realDonaldTrump,"Biden dumped New Hampshire in the Dem Primaries, left early. I had my first big victory there - Do it again! https://t.co/7LzwR4Ot9W",11095,"Washington, DC",2020-10-25 22:21:30
4,realDonaldTrump,Great people. Vote for Trump! https://t.co/ngDGgKuzOo,10905,"Washington, DC",2020-10-25 22:15:41
5,realDonaldTrump,"Congratulations to Armenian Prime Minister Nikol Pashinyan and Azerbaijani President Ilham Aliyev, who just agreed to adhere to a cease fire effective at midnight. Many lives will be saved. Proud of my team @SecPompeo &amp; Steve Biegun &amp; @WHNSC for getting the deal done!",32929,"Washington, DC",2020-10-25 21:44:43
6,realDonaldTrump,Thank you Rabbis! https://t.co/Lwo07ggfuc,11689,"Washington, DC",2020-10-25 21:43:31
7,realDonaldTrump,https://t.co/GiekCMY3tY,7626,"Washington, DC",2020-10-25 21:39:15
8,realDonaldTrump,"THANK YOU MAINE! #MAGA
https://t.co/bE4MhH23o9",11986,"Washington, DC",2020-10-25 21:38:50
9,realDonaldTrump,"He didn’t stick around for the primaries, either. He left WAY early https://t.co/dXBTtMP010",12301,"Washington, DC",2020-10-25 19:18:16
10,realDonaldTrump,https://t.co/gsFSgh2KPc https://t.co/KTe3etEKhs,10283,"Washington, DC",2020-10-25 18:45:43
11,realDonaldTrump,Amazing! https://t.co/jQXxeQlovz,7991,"Washington, DC",2020-10-25 18:39:29
12,realDonaldTrump,"THANK YOU NEW HAMPSHIRE!
https://t.co/XEoCm4v1M5",9841,"Washington, DC",2020-10-25 18:31:04
13,realDonaldTrump,"Congratulations to @SenRonJohnson for his dogged pursuit, as Chairman of Homeland, of POLITICAL CORRUPTION!",21031,"Washington, DC",2020-10-25 15:51:43
14,realDonaldTrump,"Have a GREAT “MAGA-GRAS” Rally today on our wonderful Long Island. Cut Taxes, Stop Crime, VOTE FOR TRUMP. Our City and State are a MESS. What do you have to lose? Thank you!!!",29383,"Washington, DC",2020-10-25 13:57:55
15,realDonaldTrump,"Pennsylvania Ballot “mistakes” made, in my opinion, on purpose by the Democrat Governor, puts Republicans, in particular @SeanParnellUSA, at great risk. Corrupt politics in Pennsylvania must be investigated immediately. By the way, Philadelphia is out of control. @TheJusticeDept",30076,"Washington, DC",2020-10-25 12:45:49
16,realDonaldTrump,"So important to VOTE for Republicans in the House. Break away from Pelosi and her high Taxing new Radical Left friends. Protect your 2nd Amendment, Military, Vets, and sooo much more!",41829,"Washington, DC",2020-10-25 12:08:59
17,realDonaldTrump,".@SeanParnellUSA is a bright star for Pennsylvania. Military, Vets, Low Taxes and your 2nd Amendment will be totally protected. His opponent is a weak and ineffective puppet for Pelosi and her new Radical Left friends. Vote for Sean Parnell!",19363,"Washington, DC",2020-10-25 12:02:12
18,realDonaldTrump,So true! https://t.co/obRV4tvaNo,15909,"Washington, DC",2020-10-25 05:05:03
19,realDonaldTrump,https://t.co/gsFSghkmdM https://t.co/XB1XImsQlG,16923,"Washington, DC",2020-10-25 03:11:43
20,realDonaldTrump,"WISCONSIN! #VOTE #MAGA 
https://t.co/wk0tCalKZ6",11452,"Washington, DC",2020-10-25 03:07:59
21,realDonaldTrump,"As long as I am President, I will always stand with the HEROES of Law Enforcement! Joe Biden won’t. https://t.co/DfutxOeRaN",19698,"Washington, DC",2020-10-25 02:58:35
22,realDonaldTrump,"This is the most important election in the history of our Country. With your vote, we will continue to bring back your jobs, lower drug prices, support our police, protect the #2A, defend our borders, and ensure more products are proudly stamped with the phrase MADE IN THE USA! https://t.co/M0Ba8QR7Nl",23322,"Washington, DC",2020-10-25 02:42:10
23,realDonaldTrump,https://t.co/uF8BVW4WBV,8426,"Washington, DC",2020-10-25 02:33:11
24,realDonaldTrump,https://t.co/Zwgbeynhy3,7778,"Washington, DC",2020-10-25 02:32:44
25,realDonaldTrump,"THANK YOU WISCONSIN!
https://t.co/nOcUhuuNoF",11829,"Washington, DC",2020-10-25 02:29:12
26,realDonaldTrump,Law Enforcement is watching and involved. So dishonest! https://t.co/DNtRroA92X,17328,"Washington, DC",2020-10-25 01:02:49
27,realDonaldTrump,...And a great show by @JesseBWatters tonight. Watched it on way from Ohio to Wisconsin! https://t.co/6OIpWIBpop,7845,"Washington, DC",2020-10-25 00:56:53
28,realDonaldTrump,Landed in Wisconsin. BIG CROWD. On my way!,18157,"Washington, DC",2020-10-25 00:40:17
29,realDonaldTrump,"Thank you OHIO! #VOTE
https://t.co/gsFSghkmdM https://t.co/oOzmfm8vCo",12615,"Washington, DC",2020-10-25 00:37:07
30,realDonaldTrump,What a terrible thing for Biden to say! Rigged Election? https://t.co/jQXxeQCZU9,14483,"Washington, DC",2020-10-25 00:36:23
