,created_at,id,text
0,2020-10-17T16:28:45.000Z,1317502820392775686,"RT @TheRightMelissa: White Liberals on twitter:  #RacistTrump

#BlacksForTrump: nope https://t.co/UgZcvd9rvP"
1,2020-10-17T16:19:20.000Z,1317500453102493702,SLEEPY JOE BIDEN IS PROPOSING THE BIGGEST TAX HIKE IN OUR COUNTRY’S HISTORY! CAN ANYBODY REALLY VOTE FOR THIS?
2,2020-10-17T16:17:59.000Z,1317500113300918272,"RT @TheRightMelissa: @realDonaldTrump Please also make sure you have all the information you need to vote. Share this with friends, family…"
3,2020-10-17T16:17:41.000Z,1317500035651731456,RT @TheRightMelissa: @realDonaldTrump We are in the home stretch. Biden is getting Billions$ from Soros &amp; others. President Trump relies on…
4,2020-10-17T16:01:47.000Z,1317496034034057216,GIANT RED WAVE COMING!
5,2020-10-17T16:00:33.000Z,1317495725786353670,"....practically nothing. Both Senators became totally unelectable, couldn’t come even close to winning their primaries, and decided to drop out of politics and gracefully “RETIRE”. @SenSasse could be next, or perhaps the Republicans should find a new and more viable candidate?"
6,2020-10-17T16:00:32.000Z,1317495722133065728,"Senator Little Ben Sasse of the Great State of Nebraska seems to be heading down the same inglorious path as former Senators Liddle’ Bob Corker, whose approval rating in Tennessee went from 55% to 4%, &amp; Jeff “the Flake” Flake, whose approval rating in Arizona went from 56% to...."
7,2020-10-17T13:39:18.000Z,1317460179223498753,"...Nomination to run for a second term. Then he went back to his rather stupid and obnoxious ways. Must feel he can’t lose to a Dem. Little Ben is a liability to the Republican Party, and an embarrassment to the Great State of Nebraska. Other than that, he’s just a wonderful guy!"
8,2020-10-17T13:39:18.000Z,1317460178246291462,"The least effective of our 53 Republican Senators, and a person who truly doesn’t have what it takes to be great, is Little Ben Sasse of Nebraska, a State which I have gladly done so much to help. @SenSasse was as nice as a RINO can be until he recently won the Republican...."
9,2020-10-17T13:30:39.000Z,1317458002828460033,Trump in Georgia: ‘Nobody Has Done More for the Black Community‘ https://t.co/CPH68LRFcg via @BreitbartNews
