,username,tweet_text,retweets,location,created_at
0,realDonaldTrump,Just signed an order to support the workers of Delphi Corporation and make sure that we protect the pensions of all American workers! Obama-Biden FAILED American workers and FAILED the workers of Delphi. I ALWAYS put American workers FIRST!,32118,"Washington, DC",2020-10-22 21:04:21
1,realDonaldTrump,Suburban women want Safety &amp; Security. Joe Biden cannot give that to anyone! https://t.co/NWSZ5tGz5E,18123,"Washington, DC",2020-10-22 18:31:46
2,realDonaldTrump,"Just left the White House for the Great State of Tennessee! 
https://t.co/s2ScYMTN9l",19710,"Washington, DC",2020-10-22 18:06:49
3,realDonaldTrump,Wow. Today’s @nypost story on Joe Biden’s corruption is a monster. Many witnesses to a crime against our Country. This isn’t going away. Even the Lamestream Media is starting to say it must be covered!,46303,"Washington, DC",2020-10-22 16:10:22
4,realDonaldTrump,Biden wants to Pack the Court with Radical Left crazies. He doesn’t even want to make a list to explain who they are. Can’t let this happen!,27875,"Washington, DC",2020-10-22 15:50:56
5,realDonaldTrump,"Finally! Suburban women are flocking over to us. They realize that I am saving the Suburbs - the American Dream! I terminated the Regulation that would bring projects and crime to Suburbia. Not on my watch! Biden will bring the Regulation back, but bigger and worse.",26163,"Washington, DC",2020-10-22 15:32:08
6,realDonaldTrump,"Obama is campaigning for us. Every time he speaks, people come over to our side. He didn’t even want to endorse Sleepy Joe. Did so long after primaries were over!",34149,"Washington, DC",2020-10-22 15:26:26
7,realDonaldTrump,"Look at the bias, hatred and rudeness on behalf of 60 Minutes and CBS. Tonight’s anchor, Kristen Welker, is far worse! #MAGA 
https://t.co/ETDJzMQg8X",28925,"Washington, DC",2020-10-22 15:24:55
8,realDonaldTrump,"Really good polling numbers as people realize all that we have done. Rasmussen Approval Rating, just out, 52%. Approval Rating in the Republican Party, 96%. Thank you!",20174,"Washington, DC",2020-10-22 15:23:40
9,realDonaldTrump,Judiciary Committee approves Judge Barrett. Moves to full Senate for final vote. Big day for America!,46268,"Washington, DC",2020-10-22 14:22:36
10,realDonaldTrump,".@FoxNews Polls are totally FAKE, just like they were in 2016. I am leading in all of the states mentioned, which you will soon see. I thought Fox was getting rid of its pollster. Sadly, it never happened!",25808,"Washington, DC",2020-10-22 13:47:33
11,realDonaldTrump,....to be around to vote for President Trump.” Over 300 wins and 2 National Championships. Thank you to Florida State for giving us Bobby Bowden!,12489,"Washington, DC",2020-10-22 12:28:28
12,realDonaldTrump,"The GREAT Bobby Bowden, one of the best coaches EVER in College Football, on his full recovery from Covid-19 “....America is the greatest country this side of heaven. I’ve had a chance to get a lot of wins in my life, but I really wanted to win this one because I wanted....",19697,"Washington, DC",2020-10-22 12:28:28
13,realDonaldTrump,"I will soon be giving a first in television history full, unedited preview of the vicious attempted “takeout” interview of me by Lesley Stahl of @60Minutes. Watch her constant interruptions &amp; anger. Compare my full, flowing and “magnificently brilliant” answers to their “Q’s”. https://t.co/L3szccGamP",32125,"Washington, DC",2020-10-22 12:05:34
14,realDonaldTrump,Virginia! https://t.co/RNKJNCSkrZ,15122,"Washington, DC",2020-10-22 11:02:31
15,realDonaldTrump,Depression! https://t.co/WhPPdrze4B,17421,"Washington, DC",2020-10-22 11:01:08
16,realDonaldTrump,"Ratcliffe: Iran and Russia Have Obtained Voter Info, Iran Has Tried to ‘Damage President Trump‘ https://t.co/8DVFoD5CTc via @BreitbartNews",19245,"Washington, DC",2020-10-22 02:01:58
17,realDonaldTrump,"I am not just running against Biden, I am running against the Corrupt Media, the Big Tech Giants, and the Washington Swamp. It is time to send a message to these wealthy liberal hypocrites by delivering Joe Biden a THUNDERING defeat on November 3rd! #MAGA https://t.co/gsFSgh2KPc https://t.co/eRRgjnhyIi",53725,"Washington, DC",2020-10-22 01:47:18
18,realDonaldTrump,"I did more in 47 months than Biden did in 47 years. A VOTE for Republicans is a VOTE for SAFE communities, great JOBS, and a limitless FUTURE for ALL AMERICANS! https://t.co/gsFSgh2KPc https://t.co/A7GSc2ET9c",26865,"Washington, DC",2020-10-22 01:29:04
19,realDonaldTrump,"For years you had a President who apologized for America—now you have a President who is standing up for America, and standing up for YOU. So get your friends, get your family, get your neighbors and co-workers, and GET OUT AND VOTE. Together, we are going to #MAGA! https://t.co/1EscDM2EuN",27664,"Washington, DC",2020-10-22 01:24:30
20,realDonaldTrump,"If I do not sound like a typical Washington politician, it’s because I’m NOT a politician. If I do not always play by the rules of the Washington Establishment, it’s because I was elected to fight for YOU, harder than anyone ever has before! https://t.co/gsFSghkmdM",39976,"Washington, DC",2020-10-22 00:56:37
21,realDonaldTrump,"The first thing Washington Democrats will do if Biden is elected is pack the Supreme Court with radical left judges who will eliminate your 2nd Amendment.
https://t.co/hcEZcys5cn",14165,"Washington, DC",2020-10-22 00:50:28
22,realDonaldTrump,"The Radical Biden-Harris Agenda is projected to slash the typical American’s income by $6,500 per year. They will raise TAXES by $4 TRILLION DOLLARS – triggering a mass exodus of jobs out of America and into foreign countries. 
https://t.co/pUVreuusxz",13505,"Washington, DC",2020-10-22 00:48:29
23,realDonaldTrump,"THANK YOU NORTH CAROLINA!
https://t.co/O3m7HWVlcq",13389,"Washington, DC",2020-10-22 00:43:42
24,realDonaldTrump,My great honor! https://t.co/Ppcl3fHKKS,14502,"Washington, DC",2020-10-22 00:37:27
