,username,tweet_text,retweets,location,created_at
0,realDonaldTrump,"Exclusive: Forgotten by Obama-Biden Auto Bailout, Delphi Workers Refuse to Forget What Was Taken from Them (Part One) https://t.co/T8SME62Vb4 via @BreitbartNews Biden was a disaster on this. All talk and no action. Remember and VOTE!",10687,"Washington, DC",2020-10-21 22:41:26
1,realDonaldTrump,Multiple Pro-Trump Demonstrations Planned in Cincinnati Area https://t.co/jjMeB9Hba0 via @BreitbartNews,11274,"Washington, DC",2020-10-21 22:41:19
2,realDonaldTrump,Pennsylvania Trump Voters Show Passion: ‘He‘s a Man that Wants to Do It All for America‘ https://t.co/1oYXtzAyhT via @BreitbartNews,10132,"Washington, DC",2020-10-21 22:33:24
3,realDonaldTrump,WSJ Editorial Board: Joe Biden Must Answer Questions About Hunter Biden and China https://t.co/pF2M9i9OSu via @BreitbartNews,15765,"Washington, DC",2020-10-21 22:31:37
4,realDonaldTrump,See you soon North Carolina! https://t.co/MWfyg4ux69 https://t.co/hfbrBTgu15,8398,"Washington, DC",2020-10-21 21:57:10
5,realDonaldTrump,....Should take care of our people. It wasn’t their fault that the Plague came in from China!,15708,"Washington, DC",2020-10-21 21:31:32
6,realDonaldTrump,"Just don’t see any way Nancy Pelosi and Cryin’ Chuck Schumer will be willing to do what is right for our great American workers, or our wonderful USA itself, on Stimulus. Their primary focus is BAILING OUT poorly run (and high crime) Democrat cities and states....",28952,"Washington, DC",2020-10-21 21:31:31
7,realDonaldTrump,"Michelle Fischbach (@FischbachMN7) is running for Congress in Minnesota. She Strongly Supports our Brave Law Enforcement, the Second Amendment, your Families and our incredible Farmers. Michelle has my Complete and Total Endorsement! #MN07 https://t.co/6FH77P2VEB",6664,"Washington, DC",2020-10-21 20:52:20
8,realDonaldTrump,".@JimOberweis will be a terrific Congressman for Illinois! A successful businessman, he will Create Jobs, Lower Taxes, Defend Law &amp; Order, and Protect your Second Amendment from the Radical Left. Jim has my Complete and Total Endorsement! #IL14 https://t.co/lb5qk4KaNF",6404,"Washington, DC",2020-10-21 20:51:58
9,realDonaldTrump,"Eric Esshaki (@EsshakiCongress) will be a tremendous advocate for Michigan and the first Chaldean in Congress! He will help us Lower your Taxes, Defend your Second Amendment and Deliver Great Healthcare. Eric has my Complete and Total Endorsement! #MI11 https://t.co/nxDv26UfZp",5682,"Washington, DC",2020-10-21 20:51:40
10,realDonaldTrump,"Paul Junge (@VotePaulJunge) will be a great Congressman for Michigan! He helped Secure our Border in my Administration, and he will help us Lower your Taxes, Create Jobs, and put America First in Congress. Paul has my Complete and Total Endorsement! #MI08 https://t.co/zIk7RiuRq2",5333,"Washington, DC",2020-10-21 20:51:09
11,realDonaldTrump,"Jim Marchant (@VoteJimMarchant) will be an incredible Congressman for Nevada! Unlike his Radical Left opponent, Jim is Strong on Jobs, Law Enforcement, our Military &amp; Vets, and your Second Amendment. Jim has my Complete and Total Endorsement! #NV04 https://t.co/lHudo1M9os",5046,"Washington, DC",2020-10-21 20:50:51
12,realDonaldTrump,".@DanRodimer will be an incredible Congressman for Nevada! A former professional wrestler, he will fight for Lower Taxes, Better Education and More Jobs, and he will always support our Brave Law Enforcement. Dan has my Complete and Total Endorsement! #NV03 https://t.co/peXI1NhGXe",9766,"Washington, DC",2020-10-21 20:50:26
13,realDonaldTrump,"Congresswoman @EliseStefanik is doing a terrific job for New York! She fiercely defends us and exposes the Radical Left's lies! Strong on our Second Amendment, Vets, Military and New York Law Enforcement, Elise has my Complete and Total Endorsement! #NY21 https://t.co/T7gzh5PjVn",7764,"Washington, DC",2020-10-21 20:50:01
14,realDonaldTrump,"Congressman @BryanSteil is doing a great job for the people of Wisconsin! He fights hard for Wisconsin’s Incredible Workers, our Brave Law Enforcement, and your Second Amendment. Bryan has my Complete and Total Endorsement! #WI01 https://t.co/msoCDgO7iX",5048,"Washington, DC",2020-10-21 20:49:40
15,realDonaldTrump,"Congressman Darin LaHood (@ElectLaHood) is a fighter for Illinois! A strong supporter of our #MAGA agenda, he is helping us Drain the Swamp, Deliver for our Farmers, and Defend your Second Amendment. Darin has my Complete and Total Endorsement! #IL18 https://t.co/IDHISoPgSX",5164,"Washington, DC",2020-10-21 20:49:18
16,realDonaldTrump,"Congressman Ken Buck (@BuckForColorado) is a champion for the incredible People of Colorado! He is Strong on Law &amp; Order, Low Taxes, Border Security, our Military &amp; Vets, and he will always defend your Second Amendment. Ken has my Complete and Total Endorsement! #CO04",8818,"Washington, DC",2020-10-21 20:48:51
17,realDonaldTrump,"Senator @CindyHydeSmith delivers for Mississippi! She helped us Cut your Taxes, Secure our Border, and Defend the Second Amendment. Cindy's opponent, Mike Espy, is a Corrupt Politician who will Raise your Taxes and Open your Borders! Vote for Cindy! #MSSEN https://t.co/8YzRzj3ngC",5457,"Washington, DC",2020-10-21 20:48:32
18,realDonaldTrump,https://t.co/BvAeiZryqU,9729,"Washington, DC",2020-10-21 18:18:54
19,realDonaldTrump,https://t.co/GCqnxrGxlh,9711,"Washington, DC",2020-10-21 18:18:41
20,realDonaldTrump,https://t.co/whEB2U37MI,13934,"Washington, DC",2020-10-21 18:18:26
21,realDonaldTrump,Kayleigh McEnany presenting Lesley Stahl (@60Minutes) with some of the many things we’ve done for Healthcare. Lesley had no idea! https://t.co/8bfIxkFiXt,22641,"Washington, DC",2020-10-21 18:17:45
22,realDonaldTrump,https://t.co/MO0tx94Ykn,64144,"Washington, DC",2020-10-21 15:52:20
23,realDonaldTrump,"Your 401k’s will crash with Biden. Massive Biden Tax and Regulation increases will destroy all that you have built! Additionally, 180 Million People will lose their Private Healthcare Plans.",37659,"Washington, DC",2020-10-21 14:38:07
24,realDonaldTrump,"Remember, BIDEN is going to raise your taxes at a level never seen before. This will not only be very costly for you, it will destroy our economy, which is coming back very rapidly.",53787,"Washington, DC",2020-10-21 12:54:12
25,realDonaldTrump,Great interview Eric! https://t.co/MRxG49YT8Q,18408,"Washington, DC",2020-10-21 12:28:58
26,realDonaldTrump,Happening all over USA. No wonder California is never in play for Republicans. Rigged Election! https://t.co/aBFIEYy0Kn,25756,"Washington, DC",2020-10-21 12:21:55
27,realDonaldTrump,"Vote Trump to save your Second Amendment, Virginia! https://t.co/IQkCo67DXH",20091,"Washington, DC",2020-10-21 12:15:07
28,realDonaldTrump,"WSJ Editorial Board: Joe Biden Must Answer Questions About Hunter Biden and China https://t.co/pF2M9i9OSu via @BreitbartNews Joe Biden is a totally corrupt politician, and got caught. At least now he won’t be able to raise your Taxes - Biggest increase in U.S. history!",20433,"Washington, DC",2020-10-21 12:06:28
29,realDonaldTrump,"Biden Sought ‘Grand Bargain’ to Reduce Deficit Through Cuts to Social Security https://t.co/lpy2GGf8Sv via @BreitbartNews Joe Biden pushed hard to CUT YOUR SOCIAL SECURITY. If elected, he will do it again. I won’t, never!!!",17453,"Washington, DC",2020-10-21 11:50:37
30,realDonaldTrump,https://t.co/UBqPJTpGH1,44118,"Washington, DC",2020-10-21 01:42:04
31,realDonaldTrump,"THANK YOU PENNSYLVANIA!
https://t.co/OirJvLcxBu",24168,"Washington, DC",2020-10-21 01:00:02
