,username,tweet_text,retweets,location,created_at
0,JoeBiden,"Vote early.

Vote by mail.

Vote on Election Day.

Just make sure you vote. https://t.co/eoxT07d7QB",5187,"Wilmington, DE",2020-10-21 23:50:00
1,JoeBiden,"President Trump didn't take the necessary precautions to protect himself and others.

How can we trust him to protect the country?",18703,"Wilmington, DE",2020-10-21 23:15:00
2,JoeBiden,I couldn’t be more excited to have my friend @BarackObama hitting the campaign trail. Tune in for his first drive-in rally live from Philadelphia. https://t.co/NJyChqivOt,5011,"Wilmington, DE",2020-10-21 21:47:08
3,JoeBiden,"It’s time we replace Secretary Betsy DeVos with an actual public school educator — one who values our public schools and is capable of guiding all of our schools through this pandemic.

Vote: https://t.co/eoxT07d7QB https://t.co/CWf3H5BqOH",18311,"Wilmington, DE",2020-10-21 21:05:00
4,JoeBiden,Tune in as @BarackObama sits down with community leaders in Philadelphia to talk about what’s at stake in this election. https://t.co/Xzmy0Cs3sw,4569,"Wilmington, DE",2020-10-21 20:19:33
5,JoeBiden,"Hay muchos asuntos que son complicados, pero algunas cosas son visiblemente claras. Las familias deben permanecer unidas. https://t.co/rLC69J5rHI",1391,"Wilmington, DE",2020-10-21 20:05:00
6,JoeBiden,"There are many issues that are complicated, but some things are just black and white. Families belong together. https://t.co/TgIkhAMAtZ",3210,"Wilmington, DE",2020-10-21 19:50:00
7,JoeBiden,Cada día parece que descubrimos nuevos horrores cometidos por el presidente Trump y su administración. https://t.co/eefL58X7R8,5055,"Wilmington, DE",2020-10-21 19:30:24
8,JoeBiden,Every day it seems we uncover new horrors perpetrated by President Trump and his administration. https://t.co/eefL58X7R8,16480,"Wilmington, DE",2020-10-21 18:36:13
9,JoeBiden,"The Build Back Better Express Tour was about more than my love for trains — it was about meeting folks along the way and discussing how we can make their lives better.

They are the backbone of America — and I’ll fight for them every day in the White House. https://t.co/HhJHo35DvD",4712,"Wilmington, DE",2020-10-21 17:02:00
10,JoeBiden,"Justice is on the ballot.

https://t.co/eoxT07uII9 https://t.co/0dg9Cg1f2i",5090,"Wilmington, DE",2020-10-21 15:30:00
11,JoeBiden,"West Virginia — in-person early voting is now open across the state. 

Make a plan to vote at https://t.co/3lR0146LYv.",3299,"Wilmington, DE",2020-10-21 14:20:00
12,JoeBiden,"Missouri — today is the last day to request a mail-in ballot.

Head to https://t.co/lDI7PzhWha and request yours today.",3351,"Wilmington, DE",2020-10-21 14:02:00
13,JoeBiden,It’s time we see each other as fellow Americans who live in — and love — the United States of America. https://t.co/xawem14X61,26548,"Wilmington, DE",2020-10-21 03:20:00
14,JoeBiden,"I’ve always believed we’re at our best when we’re one America. If we come together, there’s not a single thing we cannot overcome.",16008,"Wilmington, DE",2020-10-21 00:45:00
