,created_at,id,text
0,2020-10-17T18:00:00.000Z,1317525784836382721,"As president, I’ll protect and build on Obamacare by:

- Giving Americans the choice to buy a new public option
- Lowering premiums, deductibles, and co-pays
- Standing up to prescription drug corporations

We’re going to make sure every American has access to the care they need."
1,2020-10-17T16:59:00.000Z,1317510433851412482,You deserve a president who will actually tell you the truth. https://t.co/I9XzZ0ADmT
2,2020-10-17T16:23:56.000Z,1317501610923261956,"RT @KamalaHarris: My mother raised me to see what could be, unburdened by what has been. https://t.co/5sNj8MmjvZ"
3,2020-10-17T16:15:00.000Z,1317499360947654658,Nevada — early voting has officially started. Join the over 20 million people across the country who have already voted early and cast your ballot today. https://t.co/ajJjiHhlLu
4,2020-10-17T15:30:00.000Z,1317488036851089410,"Voting is your opportunity to be in the room where it happens.

Don't throw away your shot: https://t.co/eoxT07d7QB https://t.co/uU5mRDGsXE"
5,2020-10-17T14:30:00.000Z,1317472937159610373,"As the Hindu festival of Navratri begins, Jill and I send our best wishes to all those celebrating in the U.S. and around the world. May good once again triumph over evil — and usher in new beginnings and opportunity for all."
6,2020-10-17T14:01:00.000Z,1317465638953168899,"We’ve got to come together to defeat Donald Trump –– Democrats, Independents, Republicans, and yes, even Demo-cats. https://t.co/LtsTWy7MmI"
7,2020-10-17T00:32:00.000Z,1317262047420190720,"Folks, millions of you have already requested absentee ballots. It’s essential to return your ballots as soon as you can. You can return your ballot by mail or, in most states, at locations designated by your clerk. Head to https://t.co/eoxT07uII9 to learn more. https://t.co/ULvjzpb8PZ"
